location,size,room_type,distance_to_uva,furnished,registration_possible,price_per_sqm,distance_category,size_category
1,60,1,2.65,1,1,24.82316666666667,0,0
4,43,0,12.22,1,1,25.400232558139535,1,0
2,41,0,10.05,1,1,25.794878048780486,1,0
1,80,1,8.44,0,1,17.054624999999998,2,3
3,45,2,12.71,1,1,26.834666666666667,1,0
0,90,1,10.7,1,0,18.901333333333334,1,3
3,77,1,9.95,1,1,15.282467532467532,2,3
1,41,1,1.49,0,1,28.369024390243904,3,0
3,43,2,10.92,0,0,25.92139534883721,1,0
4,93,2,3.45,1,1,20.303010752688174,0,3
2,16,0,9.72,0,1,54.009375,2,2
4,92,2,7.92,1,1,17.068586956521738,2,3
5,47,2,1.25,0,0,29.08276595744681,3,0
0,96,0,14.63,1,0,19.69,1,3
4,71,0,14.92,1,0,21.576338028169015,1,3
4,77,2,10.11,0,0,19.89909090909091,1,3
1,88,0,13.92,1,0,17.902727272727272,1,3
1,99,1,4.86,0,1,16.62212121212121,0,3
4,99,2,2.14,1,1,19.802424242424244,0,3
3,91,1,10.01,0,1,15.886703296703297,1,3
3,35,0,1.72,1,0,36.990857142857145,3,1
1,63,0,10.15,1,0,22.20206349206349,1,3
3,39,1,5.97,1,1,30.51846153846154,2,1
2,20,1,0.51,0,1,37.923,3,2
1,88,0,8.25,1,0,17.54840909090909,2,3
4,17,2,12.49,0,1,72.60529411764706,1,2
5,38,2,9.56,1,1,38.04973684210527,2,1
2,90,2,0.53,0,1,19.491111111111113,3,3
3,21,1,12.71,0,0,39.743809523809524,1,1
2,21,0,14.44,1,1,37.55380952380953,1,1
3,58,1,11.12,0,1,21.397586206896552,1,0
1,65,1,0.98,1,1,21.829384615384615,3,3
3,48,1,0.93,0,0,25.467291666666668,3,0
4,35,2,12.22,1,1,36.022,1,1
5,45,1,14.58,1,0,28.347111111111108,1,0
2,74,2,3.81,1,1,21.709864864864866,0,3
2,84,0,4.6,0,1,16.49595238095238,0,3
0,50,0,3.96,1,1,34.3482,0,0
3,88,1,1.97,0,1,16.511704545454545,3,3
3,77,2,0.54,1,1,23.81714285714286,3,3
1,81,2,0.68,0,1,20.35814814814815,3,3
4,53,1,13.53,1,1,23.246226415094338,1,0
2,21,0,2.61,1,1,52.02619047619047,0,1
1,74,2,11.23,0,0,21.37675675675676,1,3
5,49,1,12.73,0,1,22.606734693877552,1,0
5,87,1,4.83,0,0,17.79770114942529,0,3
3,48,2,11.2,1,1,28.97666666666667,1,0
3,70,2,9.11,1,1,22.488285714285716,2,3
1,82,2,10.3,1,1,23.287073170731706,1,3
2,87,1,4.08,0,1,16.06206896551724,0,3
5,50,1,9.23,1,0,23.980999999999998,2,0
2,72,1,6.74,0,0,15.880694444444446,2,3
3,32,0,13.29,1,1,40.7103125,1,1
2,86,1,10.65,0,1,14.417558139534885,1,3
4,84,1,5.48,0,0,16.341785714285713,2,3
0,92,1,1.49,0,1,17.965434782608696,3,3
2,40,2,10.39,0,1,28.671249999999997,1,1
3,32,0,11.24,1,1,29.521875,1,1
1,89,1,12.08,1,1,18.424157303370787,1,3
0,22,1,7.49,1,1,55.599545454545456,2,1
3,66,2,3.68,1,1,22.124848484848485,0,3
2,99,2,5.44,1,1,17.17737373737374,2,3
0,76,0,9.87,1,1,23.28986842105263,2,3
5,95,1,0.95,0,1,18.30315789473684,3,3
1,94,2,14.6,1,1,18.84968085106383,1,3
1,26,1,10.99,0,1,43.048846153846156,1,1
4,96,0,5.61,0,1,16.54625,2,3
3,54,1,5.02,1,1,24.007222222222225,2,0
1,17,0,3.61,0,0,57.968823529411765,0,2
2,96,1,6.18,0,0,13.503958333333335,2,3
0,31,1,2.37,1,1,39.73935483870968,0,1
1,20,1,2.81,0,1,48.228500000000004,0,2
3,63,1,12.53,1,0,20.40111111111111,1,3
4,92,1,11.88,1,0,17.89195652173913,1,3
2,69,0,1.85,0,1,19.507246376811594,3,3
1,92,2,14.77,0,1,19.33108695652174,1,3
3,23,0,4.01,1,1,50.51173913043478,0,1
5,23,2,8.87,1,0,54.78521739130434,2,1
5,73,1,3.5,1,1,19.615342465753425,0,3
2,41,1,8.94,0,1,22.71,2,0
3,62,0,4.38,1,1,23.708709677419357,0,3
5,85,2,13.29,0,1,17.597176470588234,1,3
3,46,0,12.34,1,0,27.399130434782606,1,0
0,54,2,7.38,0,1,29.859814814814815,2,0
0,25,2,3.6,0,1,51.3408,0,1
5,28,1,11.72,0,0,29.61642857142857,1,1
3,75,1,12.0,0,1,16.5124,1,3
2,52,2,12.36,1,0,25.06019230769231,1,0
3,46,2,8.01,0,1,27.926086956521736,2,0
2,39,1,2.94,0,1,26.024615384615384,0,1
5,23,2,3.46,1,0,54.53869565217392,0,1
3,57,0,11.51,1,1,22.87087719298246,1,0
0,67,0,10.81,0,1,23.03358208955224,1,3
4,87,1,3.99,1,1,21.620229885057473,0,3
3,78,2,7.03,1,0,20.261410256410258,2,3
0,82,1,11.55,1,1,22.767439024390246,1,3
2,40,0,7.94,0,0,27.809500000000003,2,1
4,76,1,7.05,1,1,20.639605263157893,2,3
2,29,1,5.44,1,0,29.860689655172415,2,1
5,32,0,11.04,1,1,46.9759375,1,1
3,95,0,11.71,1,1,16.864526315789476,1,3
2,59,1,11.22,0,1,20.457796610169492,1,0
1,99,1,7.15,1,1,18.572121212121214,2,3
2,41,2,14.37,1,0,30.720243902439023,1,0
4,25,0,11.84,1,1,42.0608,1,1
4,96,2,14.67,0,1,18.173437500000002,1,3
0,71,0,8.51,1,0,20.65042253521127,2,3
4,56,2,14.06,0,1,26.079821428571428,1,0
5,51,0,2.18,0,0,25.537843137254903,0,0
0,31,1,13.03,1,0,36.47387096774194,1,1
0,44,2,8.96,0,0,27.64,2,0
1,19,0,11.09,0,1,55.14473684210526,1,2
2,28,0,2.08,1,0,40.330714285714286,0,1
1,44,2,13.06,0,1,33.711363636363636,1,0
0,69,1,1.8,1,1,23.830434782608695,3,3
3,16,1,8.21,0,0,54.463125,2,2
0,38,2,14.93,1,0,38.758421052631576,1,1
5,60,2,14.99,1,1,26.992666666666665,1,0
2,29,1,9.07,0,1,32.35896551724138,2,1
1,92,0,9.4,0,1,19.42445652173913,2,3
3,88,1,3.78,1,1,17.325568181818184,0,3
4,73,1,11.51,0,1,16.503698630136984,1,3
5,16,0,8.21,0,1,55.815,2,2
4,90,0,7.15,0,0,15.022222222222222,2,3
4,28,2,14.74,1,0,44.24,1,1
0,20,2,3.28,1,0,66.62,0,2
5,23,2,10.8,1,1,52.18521739130435,1,1
3,24,0,1.49,0,1,48.67083333333333,3,1
4,29,2,9.51,0,1,38.096896551724136,2,1
4,29,1,13.99,0,1,32.52103448275862,1,1
2,46,1,2.9,0,0,24.133695652173916,0,0
4,90,2,10.79,0,1,19.850777777777775,1,3
5,17,1,13.14,0,0,44.03,1,2
3,36,0,8.51,0,1,26.3575,2,1
0,68,1,5.43,0,1,23.58794117647059,2,3
2,64,0,10.06,0,1,19.44546875,1,3
3,43,2,11.83,1,1,27.355116279069765,1,0
0,26,0,2.63,1,1,58.43,0,1
4,98,2,5.44,1,1,20.35234693877551,2,3
5,27,2,9.74,0,0,50.17333333333334,2,1
2,84,2,3.91,0,1,18.661309523809525,0,3
5,34,2,13.09,1,0,35.05029411764706,1,1
3,84,0,14.51,0,1,18.179166666666667,1,3
4,93,2,1.11,0,1,17.407849462365593,3,3
1,76,1,9.67,0,1,19.400000000000002,2,3
3,42,0,10.74,1,0,27.487857142857145,1,0
1,78,2,0.56,0,1,21.837179487179487,3,3
1,54,2,5.66,1,1,28.999074074074073,2,0
0,26,0,5.44,0,1,48.255,2,1
3,33,1,9.75,0,1,29.26181818181818,2,1
1,84,0,11.84,1,1,22.869166666666665,1,3
5,89,2,13.26,0,1,17.756067415730335,1,3
0,88,1,6.12,1,1,21.296477272727273,2,3
2,56,2,12.67,1,1,21.9425,1,0
5,71,2,7.03,1,1,23.082112676056337,2,3
1,97,2,12.2,1,1,17.79061855670103,1,3
5,37,1,12.7,1,0,29.66864864864865,1,1
4,82,2,8.72,1,1,22.070365853658537,2,3
3,45,1,14.73,0,1,17.185111111111112,1,0
5,21,0,8.2,0,1,49.596666666666664,2,1
2,47,1,9.61,1,0,25.349361702127663,2,0
3,43,0,1.86,0,0,26.089767441860463,3,0
0,16,0,8.81,1,1,84.529375,2,2
0,89,0,2.95,1,1,21.355842696629214,0,3
1,34,1,5.09,1,1,37.39970588235294,2,1
